#ID,Quality Attribute,Attribute refinement ,Proposer,"Stimulus 

A condition that requires a response when it arrives at the system ","Environment 

The stimulus occurs under certain conditions. The system may be in an overload condition or in normal operation or some other relevant state","Response

How the system should respond to the stimulus. The response consists of the responsibilities that the system or the developers should perform in response to the stimulus","Importance (H,M,L)","Difficulty (H,M,L)",Review Order (1-10),BG1,BG 2,BG 3,BG 4,BG 5,BG 6,BG 7,BG 8,BG 9,,,,,,,,,,,,
10,Performance,"Resource management, capacity, throughput","Antonio
SDP 815",TM issues request to observe an imaging SB for MID including reference pointing and SDP responds that the resources are available. SDP is requested to deliver the data to an SKA Regional Centre,Normal Operation,"The observing commences and the data are ingested, flagged, averaged, direction independent calibration ensues followed by a direction dependent-calibration imaging pipeline. Ultimately a calibrated observatory data product (visibilities, images, catalogues, etc.) is placed into the ""staging area"" for delivery to SRCs, and archived in the Long Term Storage.",H,H,1,x,,,x,,,x,,,,,,,,,,,,,,
15,Performance,,,Gravitational wave ToO required large data rate SB to be observed when buffer is full or other resources not available.,Normal operations,Data may have to be discarded from buffer to free up space for ToO SB to commence. ToO SB gets scheduled and Nobel Prize is awarded within 6 months.,H,H,2,x,x,,,x,x,,,,,,,,,,,,,,,
47,Buildability,,Robert,A scientist is performing commissioning operations to generate the pointing models for the telescopes. An observation is performed and needs realtime calibration and imaging. ,Early Commissioning,Logging pointing data is processed returning pointing offsets. The SDP commissioning system is used and enables realtime calibration,H,H,3,,,,,,,,,,,,,,,,,,,,,
16,,,André,Observing condition (system status) of current injested observation turns out to be of insufficient quality for science goals. It is continuously of bad quality.,Normal operations,"Quality Assessment (QA) identifies bad conditions, problem is easily diagnosable for TM/operator to act upon.",H,L,4,,x,x,x,,x,,,,,,,,,,,,,,,
5,,,Andre,Evolutionary scenario as emerging during the business drivers discussion (COVERED by #1),,,,,,,,,,,,,,,,,,,,,,,,,,
6,Testability,Pipeline Evolution,Nick,New processing library needs to be implemented with very different processing algorithms (MERGED with #1),Normal Operation,Significant testing needs to be done on hardware with many data sets to ensure that processing is bounded and predictable. This is done in parallel with telescope operations. Intermediate outputs can be reviewed and validated.,H,,,x,x,x,x,,,,,,,,,,,,,,,,,
40,Testability,,,The stakeholders of SKA want to know if the SDP software produces scientifically valid results. (SDP_REQ-815),Test environment,Run a test data set through SDP and compare the result against the result produced by a known software package.,H,M,5,,,,,,,,,,,,,,,,,,,,,
1,"Modifiability
Testability",Pipeline Evolution,"Marco
SDP 738 & 809
Nick
André
","A new Science Pipeline Workflow or algorithm (e.g., Factor and DDFacet) is added (Major change). New processing library needs to be implemented with very different processing algorithms.","construction, incrementally adding capabilities
Normal Operation","The Science Pipeline Workflow is implemented along with any necessary additional Processing Component. The workflow is exposed to TM and can be specified at schedule time. SDP correctly schedules the new workflow according to the necessary resources. SKA computing team validates and approves the use of any new pipeline workflows before they go into operations. 
Significant testing is done on hardware with many data sets to ensure that processing is bounded and predictable. This is done in parallel with telescope operations. Intermediate outputs may be reviewed and validated.
Resource utilization models are changed. TM uses the updated models, and subsequent SBs are scheduled using the new models. Data provenance of new data is updated to reflect new workflow/algorithm.",H,H,6,x,x,x,,,,,,,,,,,,,,,,,,
1.1,,,,"Minor change to pipeline workflow(e.g. fix obvious flaw, add debugging capability etc)",Normal operation,"Change can be implemented within a shift and other knock-on activities (provenence, TM change) as well.",,,,,,,,,,,,,,,,,,,,,,,,
24,Availability,Capacity,"Andreas
SDP 814","SDP is in use, requiring operation at maximum operating capability. An SDP software failure occurs that requires enabling fallback/redundancy measures.",Normal operation,SDP design architecture and reserve capacity enables seamless transition of operations to available redundant capacity.,H,H,7,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
42,Performance,,Antonio,A processing block (PB) is taking longer than expected to execute.,Normal Operations,"In order to not let the PB runaway in an unbounded fashion and impact the upstream observing programme, the PB needs to be terminated.
But what are the decision points in leading to terminating the PB and who does it - under control of SDP or TM?",H,H,8,,,,,,,,,,,,,,,,,,,,,
11,Usability,Resource management,Anna,TM Issues request to observe an SB and SDP does not have sufficient resources available. (MERGED with #4),Normal Operation,"SDP rejects observation and TM rescheduled with another.
Reason for the TM making this request is investigated and resolved.",H,,,,,,,,x,,,,,,,,,,,,,,,
12,Modifiability,Pipeline evolution,,SDP algorithms have changed. (MERGED with #1 and #6),,"Resource utilization models need to be changed. TM uses updated models, and subsequent SBs are scheduled using the new models.",H,,,x,x,x,,,x,,,,,,,,,,,,,,,
9,Availability,Hardware failure,"Nick
SDP 814",There is a hardware failure which results in data island failure (storage instance and/or processing node fails) or execution engine failure.  ,Normal Operation,Root cause of the failure is identified within 15 minutes. Processing running on the island is gracefully terminated and marked for re-processing when data island becomes available again.,H,H,9,,x,,,,x,,x,,,,,,,,,,,,,
14,,,,HPC requests SB but resources are not available (MERGED with #4),,,H,,,,,,,,,,,,,,,,,,,,,,,
22,Availability,Data Transfer,Andreas,The SDP data communication/distribution fails,SDP operating at full capacity,"Recovery mechanisms provided in  the SDP internal data communication  effectively manage errors to a level that SDP critical operation not impacted. Failover works properly  or there is graceful degradation when operating at capacity. Also, consider performance impacts.",M,H,11,,,,,,,,,,,,,,,,,,,,,
